State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
VIC,16/03/2020,14:33,71,,,11700,,,,,Victoria DHHS email,
NSW,16/03/2020,11:00,171,4,25511,26964,,,,,NSW Health,
TAS,17/03/2020,,7,,,,,,,,media release,
WA,17/03/2020,13:00,31,1,6582,6613,,,,,website,
SA,17/03/2020,,32,,,,,,,,media release,
QLD,17/03/2020,18:31,78,,,,,,,,media released,
VIC,17/03/2020,14:25,94,,,,,,,,Victoria DHHS,
NSW,17/03/2020,11:00,210,4,28552,30244,,,,,NSW Health,
NSW,17/03/2020,,,5,,,,,,,NSW Health media release,
NT,18/03/2020,,0,,,,,,,,health.gov.au,Sets the case count for NT to zero as it is now counted in NSW
ACT,18/03/2020,08:03,3,,,,,,,,ACT health email,
ACT,18/03/2020,,3,,,,,,,,ACT Health,
TAS,18/03/2020,,10,,,,,,,,website,
WA,18/03/2020,,35,1,7039,,,,,,website,
SA,18/03/2020,,37,,,,,,,,media release,
QLD,18/03/2020,,94,,,,,,,,media release,
VIC,18/03/2020,13:45,121,,,15200,,,,,Victoria DHHS,Actual testing figures quote is approximate - More than 15200 tested to date
NSW,18/03/2020,11:00,267,5,33387,35800,,,,,NSW Health,
ACT,19/03/2020,14:19,4,,1853,1857,,,,,media release,
TAS,19/03/2020,,10,,,707,,,,,media release,
SA,19/03/2020,17:00,42,,,15000,,,,,media release,
WA,19/03/2020,18:10,52,1,7956,8008,,,,,website,
QLD,19/03/2020,,144,,,27064,,,,,website,
VIC,19/03/2020,14:46,150,,,17180,,,,,Victoria DHHS,
NSW,19/03/2020,12:30,307,6,,39089,,,,,NSW Health media release,press conference update
NSW,19/03/2020,,353,,,,,,,,media release,
NT,20/03/2020,14:00,2,,,,,,,,health.gov.au,
NT,20/03/2020,,3,,,,,,,,media release,
ACT,20/03/2020,15:38,6,,2056,,,,,,ACT health email,
SA,20/03/2020,19:15,50,,,16717,,,,,media release,
WA,20/03/2020,,64,,8539,8603,,,,,,
VIC,20/03/2020,17:32,178,,,19337,,,,,Victoria DHHS email,
QLD,20/03/2020,17:24,184,,,,,,,,QLD Health email,
NSW,20/03/2020,,382,,40298,40651,,6,,,press conference,
NSW,20/03/2020,13:28,436,,,46892,,,,,media release,
NT,21/03/2020,,5,,,,,,,,Media release ,
ACT,21/03/2020,11:19,9,,2212,2221,,,,,media release,
TAS,21/03/2020,12,16,,,,,,,,DHHS Tasmania,
SA,21/03/2020,20:12,57,,,,,,,,Media release,
WA,21/03/2020,17.35,90,,9130,,,,,,Health WA,
QLD,21/03/2020,,221,,,,,,,,press conference,
QLD,21/03/2020,12:05,221,,,,,,,,Media release ,
VIC,21/03/2020,14.25,229,,,20500,,,,,Victoria DHHS,
NSW,21/03/2020,13:00,533,,52130,52633,,,,,Media release ,
ACT,22/03/2020,13:20,19,,2395,,,,,,Media release ,
TAS,22/03/2020,21:07,22,,,,,,,,media release,
SA,22/03/2020,20:45,100,,,,,,,,media release,
WA,22/03/2020,15:30,120,,,9500,,,,,press conference,
QLD,22/03/2020,17:30,259,,,,,,,,Media release ,
VIC,22/03/2020,13:10,296,,,22900,,,,,Media release ,
NSW,22/03/2020,08:15,669,,56272,56941,,10,,,press conference,
TAS,23/03/2020,21:08,28,,,,,,,,media release,
ACT,23/03/2020,15:15,32,,2576,,,,,,media release,
SA,23/03/2020,15:00,134,,,,,,,,national summary,
WA,23/03/2020,15:00,140,,9948,10088,,,,,media release,
QLD,23/03/2020,10:00,319,,,32000,,,,,press conference,
VIC,23/03/2020,14:15,355,,,23700,6,,,96,media release,
NSW,23/03/2020,15:00,704,,,,,,,,national summary,
NSW,23/03/2020,08:07,818,7,61030,61848,,,,,media release,
NT,24/03/2020,10:50,6,,,,,,,,media release,
ACT,24/03/2020,13:05,39,,,,3,,,,media release,
SA,24/03/2020,17:36,170,,,,,,,,national summary,
WA,24/03/2020,17:36,175,,10353,10528,,,,,national summary,
QLD,24/03/2020,17:36,397,,,38860,,,,,national summary,
VIC,24/03/2020,13:06,411,,,,,,,,media release,
NSW,24/03/2020,17:36,913,,,,,,,,national summary,
NSW,24/03/2020,20:00,1029,,,68177,,10,,,press conference,
NT,25/03/2020,17:12,5,,,,,,,,national summary,
NT,25/03/2020,19:51,6,,,,,,,,media release,
TAS,25/03/2020,17:12,34,,,,,,,,national summary,
